"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"23/02/2022","1,907.55","1,898.44","1,911.00","1,889.23","","0.50%"
"22/02/2022","1,898.13","1,905.89","1,914.44","1,891.16","","-0.39%"
"21/02/2022","1,905.63","1,900.40","1,908.38","1,887.19","","0.41%"
"18/02/2022","1,897.87","1,897.94","1,902.84","1,886.16","","0.03%"
"17/02/2022","1,897.27","1,868.84","1,901.57","1,867.18","","1.55%"
"16/02/2022","1,868.37","1,853.40","1,873.16","1,849.94","","0.83%"
"15/02/2022","1,853.06","1,870.94","1,879.89","1,844.27","","-0.92%"
"14/02/2022","1,870.29","1,861.55","1,874.41","1,850.45","","0.56%"
"11/02/2022","1,859.96","1,827.25","1,865.63","1,820.79","","1.83%"
"10/02/2022","1,826.57","1,832.94","1,842.35","1,821.46","","-0.32%"
"09/02/2022","1,832.43","1,826.05","1,836.35","1,824.50","","0.38%"
"08/02/2022","1,825.48","1,820.59","1,829.09","1,815.06","","0.28%"
"07/02/2022","1,820.31","1,806.99","1,824.06","1,806.94","","0.71%"
"04/02/2022","1,807.49","1,804.80","1,815.44","1,790.94","","0.17%"
"03/02/2022","1,804.40","1,807.19","1,809.22","1,788.39","","-0.12%"
"02/02/2022","1,806.50","1,800.94","1,811.53","1,794.11","","0.32%"
"01/02/2022","1,800.65","1,796.72","1,809.16","1,795.13","","0.23%"
"31/01/2022","1,796.47","1,791.19","1,800.23","1,785.03","","0.30%"
"28/01/2022","1,791.03","1,796.94","1,799.82","1,779.88","","-0.30%"
"27/01/2022","1,796.51","1,818.44","1,822.51","1,790.98","","-1.19%"
"26/01/2022","1,818.12","1,847.99","1,850.44","1,814.90","","-1.59%"
"25/01/2022","1,847.56","1,843.34","1,853.98","1,834.64","","0.24%"
"24/01/2022","1,843.06","1,834.49","1,844.53","1,829.09","","0.54%"
"21/01/2022","1,833.24","1,838.65","1,843.53","1,828.04","","-0.28%"
"20/01/2022","1,838.36","1,840.30","1,848.36","1,835.67","","-0.09%"
"19/01/2022","1,839.96","1,813.69","1,843.72","1,809.97","","1.46%"
"18/01/2022","1,813.54","1,819.77","1,823.01","1,805.53","","-0.30%"
"17/01/2022","1,818.99","1,817.90","1,823.72","1,812.67","","0.10%"
"14/01/2022","1,817.22","1,822.55","1,829.66","1,814.13","","-0.27%"
"13/01/2022","1,822.09","1,825.94","1,828.38","1,811.83","","-0.18%"
"12/01/2022","1,825.32","1,822.49","1,828.33","1,814.20","","0.18%"
"11/01/2022","1,822.01","1,801.69","1,823.35","1,800.09","","1.14%"
"10/01/2022","1,801.41","1,795.41","1,802.57","1,790.43","","0.32%"
"07/01/2022","1,795.63","1,789.55","1,799.20","1,782.63","","0.39%"
"06/01/2022","1,788.68","1,809.94","1,811.89","1,786.03","","-1.15%"
"05/01/2022","1,809.53","1,814.90","1,829.82","1,807.97","","-0.28%"
"04/01/2022","1,814.56","1,801.34","1,816.83","1,798.44","","0.76%"
"03/01/2022","1,800.85","1,830.14","1,832.06","1,797.93","","-1.51%"
"31/12/2021","1,828.39","1,815.44","1,830.58","1,814.15","","0.74%"
"30/12/2021","1,815.01","1,803.99","1,817.44","1,795.78","","0.63%"
"29/12/2021","1,803.66","1,805.59","1,808.16","1,788.94","","-0.09%"
"28/12/2021","1,805.37","1,811.84","1,820.70","1,804.38","","-0.31%"
"27/12/2021","1,810.90","1,808.19","1,813.74","1,802.89","","0.15%"
"24/12/2021","1,808.11","1,808.19","1,812.70","1,801.61","","0.01%"
"23/12/2021","1,807.91","1,803.69","1,811.02","1,798.88","","0.25%"
"22/12/2021","1,803.40","1,788.94","1,805.13","1,785.41","","0.84%"
"21/12/2021","1,788.36","1,789.74","1,800.85","1,784.58","","-0.05%"
"20/12/2021","1,789.32","1,799.40","1,804.32","1,787.98","","-0.47%"
"17/12/2021","1,797.68","1,799.55","1,814.63","1,795.67","","-0.07%"
"16/12/2021","1,799.03","1,777.40","1,799.53","1,775.43","","1.24%"
"15/12/2021","1,777.06","1,770.49","1,781.04","1,753.84","","0.39%"
"14/12/2021","1,770.18","1,787.19","1,789.74","1,766.31","","-0.94%"
"13/12/2021","1,786.94","1,782.94","1,791.78","1,781.51","","0.25%"
"10/12/2021","1,782.51","1,774.94","1,789.47","1,769.43","","0.45%"
"09/12/2021","1,774.46","1,782.49","1,788.05","1,772.80","","-0.43%"
"08/12/2021","1,782.06","1,784.40","1,793.60","1,779.45","","-0.11%"
"07/12/2021","1,784.04","1,778.08","1,788.02","1,771.93","","0.33%"
"06/12/2021","1,778.11","1,784.79","1,787.87","1,775.91","","-0.32%"
"03/12/2021","1,783.74","1,768.84","1,786.44","1,765.63","","0.85%"
"02/12/2021","1,768.64","1,783.05","1,783.58","1,761.68","","-0.79%"
"01/12/2021","1,782.66","1,774.15","1,794.80","1,771.96","","0.50%"
"30/11/2021","1,773.78","1,785.34","1,809.38","1,769.43","","-0.63%"
"29/11/2021","1,785.01","1,790.05","1,799.80","1,781.23","","-0.38%"
"26/11/2021","1,791.81","1,788.70","1,815.78","1,780.79","","0.19%"
"25/11/2021","1,788.45","1,789.49","1,795.65","1,785.85","","0.00%"
"24/11/2021","1,788.50","1,790.34","1,797.01","1,778.44","","-0.07%"
"23/11/2021","1,789.73","1,805.65","1,812.50","1,781.63","","-0.85%"
"22/11/2021","1,805.04","1,846.74","1,849.49","1,801.95","","-2.14%"
"19/11/2021","1,844.60","1,858.90","1,865.76","1,842.98","","-0.75%"
"18/11/2021","1,858.46","1,866.97","1,871.29","1,854.94","","-0.46%"
"17/11/2021","1,866.96","1,850.34","1,868.32","1,849.38","","0.92%"
"16/11/2021","1,849.91","1,862.94","1,877.40","1,849.16","","-0.67%"
"15/11/2021","1,862.46","1,868.15","1,870.57","1,855.73","","-0.09%"
"12/11/2021","1,864.04","1,861.99","1,868.69","1,844.78","","0.14%"
"11/11/2021","1,861.52","1,849.69","1,866.35","1,842.66","","0.65%"
"10/11/2021","1,849.57","1,831.90","1,868.70","1,821.60","","0.99%"
"09/11/2021","1,831.48","1,824.74","1,833.08","1,817.70","","0.40%"
"08/11/2021","1,824.26","1,818.44","1,826.93","1,812.08","","0.41%"
"05/11/2021","1,816.73","1,792.14","1,818.61","1,785.17","","1.40%"
"04/11/2021","1,791.70","1,769.98","1,799.26","1,769.13","","1.25%"
"03/11/2021","1,769.52","1,787.71","1,788.42","1,758.45","","-0.99%"
"02/11/2021","1,787.28","1,793.61","1,796.91","1,785.78","","-0.32%"
"01/11/2021","1,793.05","1,783.24","1,796.20","1,778.89","","0.57%"
"29/10/2021","1,782.81","1,799.03","1,801.49","1,771.70","","-0.88%"
"28/10/2021","1,798.62","1,796.78","1,810.49","1,792.34","","0.11%"
"27/10/2021","1,796.69","1,793.04","1,799.38","1,782.83","","0.23%"
"26/10/2021","1,792.63","1,807.90","1,808.50","1,781.98","","-0.82%"
"25/10/2021","1,807.47","1,794.00","1,810.18","1,791.95","","0.84%"
"22/10/2021","1,792.48","1,782.89","1,814.22","1,782.46","","0.55%"
"21/10/2021","1,782.76","1,782.10","1,789.61","1,776.07","","0.05%"
"20/10/2021","1,781.83","1,769.28","1,788.68","1,766.50","","0.73%"
"19/10/2021","1,768.87","1,764.99","1,785.53","1,762.48","","0.24%"
"18/10/2021","1,764.60","1,767.74","1,772.30","1,759.68","","-0.15%"
"15/10/2021","1,767.26","1,795.81","1,796.89","1,764.48","","-1.58%"
"14/10/2021","1,795.56","1,792.75","1,800.91","1,786.22","","0.16%"
"13/10/2021","1,792.65","1,760.05","1,796.31","1,757.89","","1.86%"
"12/10/2021","1,759.93","1,754.12","1,769.78","1,750.47","","0.35%"
"11/10/2021","1,753.86","1,757.34","1,761.36","1,749.68","","-0.16%"
"08/10/2021","1,756.67","1,755.89","1,781.60","1,753.03","","0.08%"
"07/10/2021","1,755.29","1,762.74","1,767.45","1,751.38","","-0.41%"
"06/10/2021","1,762.48","1,760.45","1,765.78","1,745.45","","0.14%"
"05/10/2021","1,759.96","1,769.75","1,771.03","1,748.56","","-0.54%"
"04/10/2021","1,769.51","1,762.15","1,771.06","1,747.23","","0.52%"
"01/10/2021","1,760.36","1,756.91","1,764.40","1,749.36","","0.21%"
"30/09/2021","1,756.66","1,726.40","1,764.53","1,721.67","","1.77%"
"29/09/2021","1,726.11","1,733.97","1,746.11","1,721.07","","-0.44%"
"28/09/2021","1,733.68","1,750.45","1,754.80","1,727.18","","-0.92%"
"27/09/2021","1,749.85","1,751.24","1,761.29","1,744.19","","0.00%"
"24/09/2021","1,749.86","1,742.82","1,758.08","1,739.60","","0.42%"
