Date,tas
12/1955,19.9951
1/1956,18.0729
2/1956,21.3687
3/1956,22.5903
4/1956,25.4728
5/1956,26.2336
6/1956,26.8207
7/1956,26.9298
8/1956,26.4081
9/1956,26.1103
10/1956,24.4196
11/1956,21.3528
12/1956,19.5933
1/1957,19.9781
2/1957,19.0673
3/1957,21.4906
4/1957,25.2066
5/1957,27.2412
6/1957,26.5876
7/1957,27.0133
8/1957,26.9888
9/1957,26.1092
10/1957,24.1313
11/1957,23.146
12/1957,21.6093
1/1958,19.7549
2/1958,19.6837
3/1958,23.7243
4/1958,26.6118
5/1958,27.9558
6/1958,27.2611
7/1958,27.0144
8/1958,26.5977
9/1958,25.82
10/1958,23.9962
11/1958,21.4935
12/1958,20.181
1/1959,19.0438
2/1959,21.3627
3/1959,21.1231
4/1959,25.7793
5/1959,26.696
6/1959,27.8151
7/1959,26.8217
8/1959,26.7273
9/1959,25.5741
10/1959,24.3858
11/1959,22.9884
12/1959,21.6102
1/1960,19.9235
2/1960,20.6892
3/1960,23.4656
4/1960,25.1915
5/1960,26.616
6/1960,27.4634
7/1960,26.7936
8/1960,27.0188
9/1960,25.9029
10/1960,24.3224
11/1960,23.1757
12/1960,19.7838
1/1961,18.8684
2/1961,20.1151
3/1961,22.5674
4/1961,25.4686
5/1961,26.7224
6/1961,27.0669
7/1961,27.0499
8/1961,26.7339
9/1961,25.7667
10/1961,24.7162
11/1961,22.3703
12/1961,20.9435
1/1962,17.6982
2/1962,20.0487
3/1962,21.6109
4/1962,24.9484
5/1962,27.0255
6/1962,26.76
7/1962,27.2278
8/1962,26.6305
9/1962,26.0034
10/1962,24.6097
11/1962,22.2231
12/1962,19.9621
1/1963,16.9022
2/1963,19.4514
3/1963,21.4207
4/1963,25.2424
5/1963,27.5782
6/1963,27.129
7/1963,26.7594
8/1963,26.8958
9/1963,26.7301
10/1963,24.5016
11/1963,23.571
12/1963,20.3118
1/1964,20.3304
2/1964,19.4918
3/1964,22.0245
4/1964,25.9938
5/1964,26.2458
6/1964,26.8504
7/1964,27.2768
8/1964,26.8687
9/1964,26.1119
10/1964,24.9152
11/1964,21.476
12/1964,19.2716
1/1965,18.9415
2/1965,21.5834
3/1965,21.5191
4/1965,25.1663
5/1965,26.5358
6/1965,26.4433
7/1965,26.8833
8/1965,26.656
9/1965,25.4667
10/1965,25.0273
11/1965,23.0334
12/1965,21.2138
1/1966,21.17
2/1966,22.2144
3/1966,23.2018
4/1966,25.685
5/1966,25.9648
6/1966,26.7212
7/1966,26.9976
8/1966,26.5349
9/1966,25.4407
10/1966,24.993
11/1966,22.6771
12/1966,21.5523
1/1967,18.3702
2/1967,19.2135
3/1967,22.0908
4/1967,24.7257
5/1967,27.198
6/1967,27.388
7/1967,27.0716
8/1967,26.9386
9/1967,25.4031
10/1967,23.6588
11/1967,22.5287
12/1967,18.8621
1/1968,19.4646
2/1968,18.117
3/1968,22.004
4/1968,24.0121
5/1968,26.5141
6/1968,26.6478
7/1968,27.2136
8/1968,26.7745
9/1968,26.0382
10/1968,24.2031
11/1968,23.3394
12/1968,22.5255
1/1969,21.0705
2/1969,20.3147
3/1969,22.3887
4/1969,25.5585
5/1969,27.545
6/1969,27.0767
7/1969,27.0027
8/1969,26.7354
9/1969,26.1931
10/1969,25.0293
11/1969,21.2686
12/1969,19.3018
1/1970,19.3506
2/1970,21.2954
3/1970,21.9056
4/1970,24.5036
5/1970,26.6645
6/1970,26.8079
7/1970,26.7906
8/1970,26.3176
9/1970,25.7028
10/1970,23.8125
11/1970,21.8679
12/1970,21.0959
1/1971,17.9642
2/1971,19.6489
3/1971,21.4407
4/1971,25.3796
5/1971,26.7587
6/1971,26.6945
7/1971,26.6698
8/1971,26.1227
9/1971,26.2802
10/1971,23.3858
11/1971,20.9406
12/1971,20.2539
1/1972,18.6251
2/1972,20.3887
3/1972,21.7258
4/1972,23.6969
5/1972,27.3367
6/1972,27.1937
7/1972,27.0745
8/1972,26.2675
9/1972,25.9732
10/1972,25.4388
11/1972,23.1756
12/1972,20.9914
1/1973,19.8085
2/1973,22.8649
3/1973,23.623
4/1973,26.6165
5/1973,27.2635
6/1973,27.5014
7/1973,27.0269
8/1973,26.8035
9/1973,25.9416
10/1973,24.2796
11/1973,21.521
12/1973,19.1996
1/1974,18.7975
2/1974,19.2326
3/1974,20.759
4/1974,24.5902
5/1974,26.8973
6/1974,26.8644
7/1974,26.9615
