"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"02/03/2022","110.60","107.12","112.51","105.18","651.85K","6.95%"
"01/03/2022","103.41","96.09","106.78","95.32","698.81K","8.03%"
"28/02/2022","95.72","94.99","99.10","94.43","490.80K","4.51%"
"25/02/2022","91.59","93.32","95.64","90.06","523.79K","-1.31%"
"24/02/2022","92.81","92.52","100.54","91.45","872.24K","0.77%"
"23/02/2022","92.10","91.74","93.90","90.64","440.57K","-0.27%"
"22/02/2022","92.35","91.75","96.00","90.35","40.75K","-0.32%"
"21/02/2022","92.65","91.62","93.91","89.08","","1.12%"
"20/02/2022","91.62","91.22","91.74","91.08","","0.60%"
"18/02/2022","91.07","91.63","92.66","89.03","150.38K","-0.75%"
"17/02/2022","91.76","90.90","93.36","90.62","212.55K","-2.03%"
"16/02/2022","93.66","92.21","95.01","90.00","401.45K","1.73%"
"15/02/2022","92.07","94.83","95.17","90.66","442.64K","-3.55%"
"14/02/2022","95.46","93.91","95.82","92.09","467.07K","2.53%"
"11/02/2022","93.10","90.00","94.66","89.19","554.42K","3.58%"
"10/02/2022","89.88","90.01","91.74","89.03","492.09K","0.25%"
"09/02/2022","89.66","89.86","90.58","88.41","445.62K","0.34%"
"08/02/2022","89.36","91.64","91.68","88.51","467.39K","-2.15%"
"07/02/2022","91.32","91.82","92.73","90.73","497.75K","-1.07%"
"04/02/2022","92.31","90.19","93.17","90.07","410.93K","2.26%"
"03/02/2022","90.27","87.98","90.45","86.75","465.77K","2.28%"
"02/02/2022","88.26","88.35","89.72","87.10","456.86K","0.07%"
"01/02/2022","88.20","88.15","88.87","86.55","376.84K","0.06%"
"31/01/2022","88.15","87.45","88.39","86.34","359.08K","1.53%"
"28/01/2022","86.82","87.50","88.84","86.44","436.17K","0.24%"
"27/01/2022","86.61","87.15","88.54","86.20","427.80K","-0.85%"
"26/01/2022","87.35","85.26","87.95","85.01","459.64K","2.04%"
"25/01/2022","85.60","84.15","85.71","82.99","507.22K","2.75%"
"24/01/2022","83.31","84.91","86.09","81.90","511.70K","-2.15%"
"21/01/2022","85.14","84.57","85.56","82.78","509.10K","-2.03%"
"20/01/2022","86.90","86.23","87.82","86.00","30.39K","-0.07%"
"19/01/2022","86.96","86.61","87.91","85.77","113.15K","1.79%"
"18/01/2022","85.43","84.32","86.63","83.50","163.64K","2.08%"
"17/01/2022","83.69","83.84","83.95","82.94","","-0.17%"
"16/01/2022","83.83","83.78","84.09","83.68","","0.01%"
"14/01/2022","83.82","81.73","84.45","81.58","364.44K","2.07%"
"13/01/2022","82.12","82.82","82.94","81.39","364.77K","-0.63%"
"12/01/2022","82.64","81.38","83.10","81.17","420.62K","1.75%"
"11/01/2022","81.22","78.42","81.59","78.36","481.82K","3.82%"
"10/01/2022","78.23","78.88","79.45","77.83","389.96K","-0.85%"
"07/01/2022","78.90","79.62","80.47","78.52","414.43K","-0.70%"
"06/01/2022","79.46","77.24","80.24","76.73","476.67K","2.07%"
"05/01/2022","77.85","77.18","78.58","76.51","397.90K","1.12%"
"04/01/2022","76.99","76.02","77.64","75.70","372.85K","1.20%"
"03/01/2022","76.08","75.69","76.46","74.27","317.63K","1.16%"
