"Ngày","Giá"
"08/04/2021",1755.94
"07/04/2021",1737.28
"06/04/2021",1743.5700000000002
"05/04/2021",1728.44
"02/04/2021",1728.8400000000001
"01/04/2021",1730.1799999999998
"31/03/2021",1707.01
"30/03/2021",1684.8
"29/03/2021",1711.99
"26/03/2021",1731.97
"25/03/2021",1726.8200000000002
"24/03/2021",1734.19
"23/03/2021",1727.1100000000001
"22/03/2021",1738.69
"19/03/2021",1744.74
"18/03/2021",1736.4099999999999
"17/03/2021",1744.44
"16/03/2021",1730.94
"15/03/2021",1731.8400000000001
"12/03/2021",1726.4099999999999
"11/03/2021",1721.4099999999999
"10/03/2021",1726.05
"09/03/2021",1715.3600000000001
"08/03/2021",1681.24
"05/03/2021",1700.8600000000001
"04/03/2021",1697.19
"03/03/2021",1710.95
"02/03/2021",1738.0900000000001
"01/03/2021",1723.8400000000001
"26/02/2021",1733.49
"25/02/2021",1769.88
"24/02/2021",1804.3600000000001
"23/02/2021",1805.06
"22/02/2021",1808.6599999999999
"19/02/2021",1782.31
"18/02/2021",1775.49
"17/02/2021",1776.26
"16/02/2021",1794.31
"15/02/2021",1818.51
"12/02/2021",1823.46
"11/02/2021",1825.3600000000001
"10/02/2021",1842.22
"09/02/2021",1837.06
"08/02/2021",1830.1599999999999
"05/02/2021",1811.62
"04/02/2021",1792.26
"03/02/2021",1833.76
"02/02/2021",1837.35
"01/02/2021",1860.1599999999999
"29/01/2021",1846.0900000000001
"28/01/2021",1840.3600000000001
"27/01/2021",1843.99
"26/01/2021",1850.31
"25/01/2021",1854.99
"22/01/2021",1852.55
"21/01/2021",1869.9099999999999
"20/01/2021",1870.9099999999999
"19/01/2021",1839.3400000000001
"18/01/2021",1836.8899999999999
"15/01/2021",1826.5900000000001
"14/01/2021",1846.37
"13/01/2021",1843.4099999999999
"12/01/2021",1855.63
"11/01/2021",1844.6599999999999
"08/01/2021",1848.26
"07/01/2021",1912.5
"06/01/2021",1918.81
"05/01/2021",1949.35
"04/01/2021",1942.28
"01/01/2021",1898.1
"31/12/2020",1896.49
"30/12/2020",1893.37
"29/12/2020",1877.99
"28/12/2020",1871.19
"25/12/2020",1875.8200000000002
"24/12/2020",1876.56
"23/12/2020",1872.08
"22/12/2020",1859.56
"21/12/2020",1876.21
"18/12/2020",1880.6599999999999
"17/12/2020",1885.87
"16/12/2020",1864.15
"15/12/2020",1853.46
"14/12/2020",1827.17
"11/12/2020",1839.03
"10/12/2020",1835.31
"09/12/2020",1839.1100000000001
"08/12/2020",1871.3600000000001
"07/12/2020",1863.69
"04/12/2020",1837.6100000000001
"03/12/2020",1840.3600000000001
"02/12/2020",1831.01
"01/12/2020",1814.87
"30/11/2020",1777.02
"27/11/2020",1788.13
"26/11/2020",1810.5700000000002
"25/11/2020",1805.3
"24/11/2020",1807.51
"23/11/2020",1835.85
"20/11/2020",1870.49
"19/11/2020",1867.37
"18/11/2020",1871.4099999999999
"17/11/2020",1878.6
"16/11/2020",1888.52
"13/11/2020",1888.04
"12/11/2020",1875.76
"11/11/2020",1864.71
"10/11/2020",1876.5
"09/11/2020",1861.8600000000001
"06/11/2020",1951.51
"05/11/2020",1948.56
"04/11/2020",1903.21
"03/11/2020",1908.3600000000001
"02/11/2020",1895.1
"30/10/2020",1877.95
"29/10/2020",1867.13
"28/10/2020",1877.06
"27/10/2020",1906.83
"26/10/2020",1901.69
"23/10/2020",1900.79
"22/10/2020",1904.04
"21/10/2020",1924.49
"20/10/2020",1906.3899999999999
